run_id,panel_pos,panel_pos_score
0r_usy_GIAI_016,WR,0.91
0r_usy_GIAI_017,WR,0.994
0r_usy_GIAI_018,WR,0.995
0r_usy_GIAI_019,WR,0.994
0r_usy_GIAI_020,WR,0.994
0r_usy_GIAI_021,WR,0.959
0r_usy_GIAI_022,WR,0.968
0r_usy_GIAI_023,WR,0.939
0r_usy_GIAI_024,WR,0.994
0r_usy_GIAI_025,WR,0.995
0r_usy_GIAI_026,WR,0.986
0r_usy_GIAI_027,WR,0.994
0r_usy_GIAI_028,WR,0.994
9xc35LbeeUE_000,TE,1.0
9xc35LbeeUE_001,TE,1.0
9xc35LbeeUE_002,TE,1.0
9xc35LbeeUE_003,TE,1.0
9xc35LbeeUE_004,TE,1.0
9xc35LbeeUE_005,TE,1.0
9xc35LbeeUE_006,TE,1.0
9xc35LbeeUE_007,TE,1.0
9xc35LbeeUE_008,TE,1.0
9xc35LbeeUE_009,TE,1.0
9xc35LbeeUE_010,TE,1.0
9xc35LbeeUE_011,TE,1.0
9xc35LbeeUE_012,TE,1.0
9xc35LbeeUE_013,TE,1.0
9xc35LbeeUE_014,TE,1.0
9xc35LbeeUE_015,TE,1.0
9xc35LbeeUE_016,TE,1.0
9xc35LbeeUE_017,TE,0.999
9xc35LbeeUE_018,TE,0.999
9xc35LbeeUE_019,TE,0.999
9xc35LbeeUE_020,TE,0.999
9xc35LbeeUE_021,TE,0.999
9xc35LbeeUE_022,TE,1.0
9xc35LbeeUE_023,TE,1.0
9xc35LbeeUE_024,TE,1.0
9xc35LbeeUE_025,TE,1.0
9xc35LbeeUE_026,TE,1.0
9xc35LbeeUE_027,TE,1.0
9xc35LbeeUE_028,TE,1.0
9xc35LbeeUE_029,TE,1.0
9xc35LbeeUE_030,TE,1.0
9xc35LbeeUE_031,TE,1.0
9xc35LbeeUE_032,TE,1.0
9xc35LbeeUE_033,TE,1.0
BEFga72DF3U_000,WR,0.994
BEFga72DF3U_001,WR,0.994
BEFga72DF3U_002,WR,0.994
BEFga72DF3U_003,WR,0.994
BEFga72DF3U_004,WR,0.994
BEFga72DF3U_005,WR,0.994
BEFga72DF3U_006,WR,0.994
BEFga72DF3U_007,WR,0.994
BEFga72DF3U_008,WR,0.994
BEFga72DF3U_009,WR,0.994
BEFga72DF3U_010,WR,0.994
BEFga72DF3U_011,WR,0.994
BEFga72DF3U_012,WR,0.968
BEFga72DF3U_013,WR,0.994
BEFga72DF3U_014,WR,0.994
BEFga72DF3U_015,WR,0.994
BEFga72DF3U_016,WR,0.994
BEFga72DF3U_017,WR,0.96
BEFga72DF3U_018,WR,0.969
BEFga72DF3U_019,WR,0.959
BEFga72DF3U_020,WR,0.994
BEFga72DF3U_021,WR,0.994
BEFga72DF3U_022,WR,0.994
BEFga72DF3U_023,WR,1.0
BEFga72DF3U_024,WR,0.994
BEFga72DF3U_025,WR,0.995
BEFga72DF3U_026,WR,0.994
BEFga72DF3U_027,WR,0.995
BEFga72DF3U_028,QB,1.0
BEFga72DF3U_029,QB,1.0
LDqozfzjaNU_000,DL,1.0
LDqozfzjaNU_001,DL,0.994
LDqozfzjaNU_002,DL,0.998
LDqozfzjaNU_003,DL,0.994
LDqozfzjaNU_004,DL,0.994
LDqozfzjaNU_005,DL,0.994
LDqozfzjaNU_006,DL,0.994
LDqozfzjaNU_007,DL,0.994
LDqozfzjaNU_008,DL,0.994
LDqozfzjaNU_009,DL,0.994
LDqozfzjaNU_010,DL,0.994
LDqozfzjaNU_011,DL,0.998
LDqozfzjaNU_012,DL,0.998
LDqozfzjaNU_013,DL,0.998
LDqozfzjaNU_014,DL,0.994
LDqozfzjaNU_015,DL,0.994
LDqozfzjaNU_016,DL,0.994
LDqozfzjaNU_017,DL,0.994
LDqozfzjaNU_018,DL,0.994
LDqozfzjaNU_019,DL,0.994
LDqozfzjaNU_020,DL,0.998
LDqozfzjaNU_021,DL,0.994
LDqozfzjaNU_022,DL,0.995
LDqozfzjaNU_023,DL,0.994
LDqozfzjaNU_024,DL,0.994
LDqozfzjaNU_025,DL,0.995
LDqozfzjaNU_026,DL,0.994
LDqozfzjaNU_027,DL,0.994
LDqozfzjaNU_028,DL,0.994
LDqozfzjaNU_029,DL,0.994
LDqozfzjaNU_030,DL,0.994
LDqozfzjaNU_031,DL,0.994
LDqozfzjaNU_032,DL,0.994
LDqozfzjaNU_033,DL,0.994
Sr-Q6UjJq6g_000,DL,0.994
Sr-Q6UjJq6g_001,DL,0.994
Sr-Q6UjJq6g_002,DL,0.994
Sr-Q6UjJq6g_003,DL,1.0
Sr-Q6UjJq6g_004,DL,0.994
Sr-Q6UjJq6g_005,DL,0.994
Sr-Q6UjJq6g_006,DL,0.994
Sr-Q6UjJq6g_007,DL,0.994
Sr-Q6UjJq6g_008,DL,0.994
Sr-Q6UjJq6g_009,DL,0.994
Sr-Q6UjJq6g_010,DL,0.994
Sr-Q6UjJq6g_011,DL,0.994
Sr-Q6UjJq6g_012,DL,0.994
Sr-Q6UjJq6g_013,DL,0.994
Sr-Q6UjJq6g_014,DL,0.994
Sr-Q6UjJq6g_015,DL,0.998
Sr-Q6UjJq6g_016,DL,0.998
Sr-Q6UjJq6g_017,DL,1.0
Sr-Q6UjJq6g_018,DL,0.994
Sr-Q6UjJq6g_019,DL,0.994
Sr-Q6UjJq6g_020,DL,0.994
Sr-Q6UjJq6g_021,DL,0.994
Sr-Q6UjJq6g_022,DL,0.994
Sr-Q6UjJq6g_023,DL,0.994
Sr-Q6UjJq6g_024,DL,0.994
Sr-Q6UjJq6g_025,DL,0.994
UcatZ1FYe5E_000,DB,1.0
UcatZ1FYe5E_001,DB,1.0
UcatZ1FYe5E_002,DB,1.0
UcatZ1FYe5E_003,DB,1.0
UcatZ1FYe5E_004,DB,0.99
UcatZ1FYe5E_005,DB,1.0
UcatZ1FYe5E_006,DB,1.0
UcatZ1FYe5E_007,DB,0.958
UcatZ1FYe5E_008,DB,1.0
UcatZ1FYe5E_009,DB,0.929
UcatZ1FYe5E_010,DB,1.0
UcatZ1FYe5E_011,DB,0.98
UcatZ1FYe5E_012,DB,1.0
UcatZ1FYe5E_013,DB,0.999
UcatZ1FYe5E_014,DB,0.999
UcatZ1FYe5E_015,DB,0.999
UcatZ1FYe5E_016,DB,0.999
UcatZ1FYe5E_017,DB,0.989
UcatZ1FYe5E_018,DB,0.999
UcatZ1FYe5E_019,DB,0.999
UcatZ1FYe5E_020,DB,0.958
UcatZ1FYe5E_021,DB,0.979
UcatZ1FYe5E_022,DB,0.999
W23Nvg3rw6U_000,OL,1.0
W23Nvg3rw6U_001,OL,1.0
W23Nvg3rw6U_002,OL,1.0
W23Nvg3rw6U_003,OL,1.0
W23Nvg3rw6U_004,OL,1.0
W23Nvg3rw6U_005,OL,0.999
W23Nvg3rw6U_006,OL,0.999
W23Nvg3rw6U_007,OL,0.999
W23Nvg3rw6U_008,OL,0.999
W23Nvg3rw6U_009,OL,0.999
W23Nvg3rw6U_010,OL,0.999
W23Nvg3rw6U_011,OL,1.0
W23Nvg3rw6U_012,OL,1.0
W23Nvg3rw6U_013,OL,1.0
W23Nvg3rw6U_014,OL,1.0
W23Nvg3rw6U_015,OL,1.0
W23Nvg3rw6U_016,OL,0.999
W23Nvg3rw6U_017,OL,1.0
W23Nvg3rw6U_018,OL,1.0
W23Nvg3rw6U_019,OL,0.999
W23Nvg3rw6U_020,OL,0.999
W23Nvg3rw6U_021,OL,0.999
W23Nvg3rw6U_022,OL,0.999
W23Nvg3rw6U_023,OL,0.999
W23Nvg3rw6U_024,OL,0.999
W23Nvg3rw6U_025,OL,1.0
W23Nvg3rw6U_026,OL,1.0
W23Nvg3rw6U_027,OL,1.0
W23Nvg3rw6U_028,OL,0.999
W23Nvg3rw6U_029,OL,0.999
W23Nvg3rw6U_030,OL,0.999
W23Nvg3rw6U_031,OL,0.999
W23Nvg3rw6U_032,OL,1.0
W23Nvg3rw6U_033,OL,1.0
W23Nvg3rw6U_034,OL,1.0
W23Nvg3rw6U_035,OL,1.0
W23Nvg3rw6U_036,OL,1.0
W23Nvg3rw6U_037,OL,1.0
W23Nvg3rw6U_038,OL,1.0
W23Nvg3rw6U_039,OL,1.0
f9RAoGpGkIY_000,OL,1.0
f9RAoGpGkIY_001,OL,1.0
f9RAoGpGkIY_002,OL,1.0
f9RAoGpGkIY_003,OL,1.0
f9RAoGpGkIY_004,OL,1.0
f9RAoGpGkIY_005,OL,1.0
f9RAoGpGkIY_006,OL,1.0
f9RAoGpGkIY_007,OL,1.0
f9RAoGpGkIY_008,OL,0.999
f9RAoGpGkIY_009,OL,0.999
f9RAoGpGkIY_010,OL,0.999
f9RAoGpGkIY_011,OL,0.999
f9RAoGpGkIY_012,OL,0.999
f9RAoGpGkIY_013,OL,1.0
f9RAoGpGkIY_014,OL,0.999
f9RAoGpGkIY_015,OL,1.0
f9RAoGpGkIY_016,OL,1.0
f9RAoGpGkIY_017,OL,1.0
f9RAoGpGkIY_018,OL,0.999
f9RAoGpGkIY_019,OL,1.0
f9RAoGpGkIY_020,OL,1.0
f9RAoGpGkIY_021,OL,1.0
f9RAoGpGkIY_022,OL,1.0
f9RAoGpGkIY_023,OL,0.999
f9RAoGpGkIY_024,OL,0.999
f9RAoGpGkIY_025,OL,0.999
f9RAoGpGkIY_026,OL,0.999
f9RAoGpGkIY_027,OL,1.0
f9RAoGpGkIY_028,OL,0.999
f9RAoGpGkIY_029,OL,1.0
g__zmhX838U_000,RB,1.0
g__zmhX838U_001,RB,0.983
g__zmhX838U_002,RB,0.961
g__zmhX838U_003,RB,0.995
g__zmhX838U_004,RB,0.995
g__zmhX838U_005,RB,0.999
g__zmhX838U_006,RB,0.999
g__zmhX838U_007,RB,0.999
g__zmhX838U_008,RB,0.999
g__zmhX838U_009,RB,0.999
g__zmhX838U_010,RB,0.995
g__zmhX838U_011,RB,0.999
g__zmhX838U_012,RB,0.999
g__zmhX838U_013,RB,0.995
g__zmhX838U_014,RB,0.999
g__zmhX838U_015,RB,0.999
g__zmhX838U_016,RB,0.999
g__zmhX838U_017,RB,0.999
olzS7RidilY_000,LB,1.0
olzS7RidilY_001,LB,0.998
olzS7RidilY_002,LB,0.998
olzS7RidilY_003,LB,1.0
olzS7RidilY_004,LB,1.0
olzS7RidilY_005,LB,1.0
olzS7RidilY_006,LB,1.0
olzS7RidilY_007,LB,1.0
olzS7RidilY_008,LB,0.992
olzS7RidilY_009,LB,1.0
olzS7RidilY_010,LB,1.0
olzS7RidilY_011,LB,1.0
olzS7RidilY_012,LB,0.997
olzS7RidilY_013,LB,0.999
olzS7RidilY_014,LB,0.991
olzS7RidilY_015,LB,0.997
olzS7RidilY_016,LB,0.999
olzS7RidilY_017,LB,0.997
olzS7RidilY_018,LB,1.0
olzS7RidilY_019,LB,1.0
olzS7RidilY_020,LB,1.0
olzS7RidilY_021,LB,1.0
olzS7RidilY_022,LB,0.998
olzS7RidilY_023,LB,0.997
