run_id,video_id,group,position,panel_pos,cls,athlete,bib,attempt,split,status,qc_reason,time_40yd,time_10yd,t_at_10yd,clip_ss,clip_frames,k0,clock_resid_p95,clock_coverage,bib_agree,panel_min_corr,max_cut,turf_min,turf_median,lane_frac,track_frac,start_support,x_at_zero,x_at_stop,max_step_yd,yardline_resid
-zgIolzsJxY_016,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-26,26,1.0,train,ok,,4.36,,1.636,331.0974,179,33.917,0.0109,0.9949,1.0,0.9999,0.1107,0.2349,0.6812,0.9624,1.0,22,-0.8759,39.6537,0.431,0.2165
-zgIolzsJxY_017,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-27,27,1.0,train,ok,,4.46,,1.7042,371.5045,182,33.128,0.0168,1.0025,1.0,0.9999,0.0946,0.234,0.6815,0.9704,1.0,44,-0.8767,39.2678,0.496,0.1397
-zgIolzsJxY_018,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-28,28,1.0,test,ok,,4.42,,1.6375,385.2182,181,33.519,0.0114,0.9889,1.0,0.9999,0.1069,0.2358,0.683,0.9776,1.0,24,-0.9197,39.7555,0.429,0.1708
-zgIolzsJxY_019,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-2,2,2.0,test,ok,,4.56,,1.7384,437.804,185,33.275,0.0114,0.9951,1.0,0.9998,0.0774,0.2399,0.6838,0.971,1.0,37,-0.9566,39.9966,0.48,0.2695
-zgIolzsJxY_020,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-5,5,2.0,train,ok,,4.44,,1.6893,455.1213,181,33.76,0.0114,0.992,1.0,0.9999,0.0796,0.24,0.6816,0.963,1.0,22,-1.2615,39.7139,0.475,0.1486
-zgIolzsJxY_021,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-7,7,2.0,train,ok,,4.44,,1.6903,464.3305,182,33.817,0.0129,0.992,1.0,0.9999,0.128,0.2421,0.6829,0.963,1.0,57,-1.1164,39.4825,0.421,0.1382
-zgIolzsJxY_022,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-9,9,2.0,test,ok,,4.4,,1.6745,481.3142,180,33.226,0.0126,1.001,1.0,0.9999,0.0682,0.2442,0.6831,0.9701,1.0,32,-1.1626,39.5879,0.416,0.1414
-zgIolzsJxY_023,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-10,10,2.0,train,ok,,4.5,,1.6774,503.136,183,33.953,0.0141,0.9936,1.0,0.9999,0.0827,0.242,0.6822,0.9708,1.0,56,-1.2368,39.6928,0.409,0.1488
-zgIolzsJxY_024,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-12,12,2.0,train,ok,,4.6,,1.7365,526.4926,186,33.303,0.0138,1.001,1.0,0.9999,0.1019,0.241,0.6817,0.9714,1.0,34,-1.1981,39.6683,0.408,0.155
-zgIolzsJxY_025,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-14,14,2.0,test,ok,,4.44,,1.6968,546.0455,182,32.606,0.0116,0.9995,1.0,0.9999,0.0835,0.2374,0.6819,0.9704,1.0,53,-1.0734,39.2873,0.42,0.1596
-zgIolzsJxY_026,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-15,15,2.0,test,ok,,4.55,,1.7295,582.3484,185,33.247,0.0125,0.9973,1.0,0.9999,0.0635,0.2403,0.6847,0.9783,1.0,32,-1.2635,39.5036,0.415,0.151
-zgIolzsJxY_027,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-16,16,2.0,test,ok,,4.42,,1.6926,619.7525,181,34.155,0.0112,0.9965,1.0,0.9999,0.0688,0.239,0.6823,0.9627,1.0,26,-0.9898,39.6346,0.429,0.1794
-zgIolzsJxY_028,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-17,17,2.0,test,ok,,4.4,,1.653,641.5075,180,32.93,0.0113,0.9934,1.0,0.9999,0.0888,0.2399,0.6801,0.9851,1.0,57,-1.3095,39.4805,0.412,0.1499
-zgIolzsJxY_029,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-18,18,2.0,train,ok,,4.55,,1.7077,675.9419,185,33.952,0.0173,0.9973,1.0,0.9999,0.0654,0.2427,0.6822,0.9784,1.0,31,-1.1259,39.8252,0.4,0.1758
-zgIolzsJxY_030,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-19,19,2.0,train,ok,,4.46,,1.6776,692.9589,182,33.621,0.0113,1.0025,1.0,0.9999,0.063,0.2377,0.6848,0.9706,1.0,20,-1.2176,39.5517,0.419,0.1797
-zgIolzsJxY_031,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-21,21,2.0,test,ok,,4.43,,1.7044,722.4217,181,33.514,0.0117,0.9942,1.0,0.9999,0.0582,0.2455,0.6827,0.9852,1.0,24,-1.1905,39.3721,0.41,0.1609
-zgIolzsJxY_032,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-22,22,2.0,train,ok,,4.5,,1.6561,759.2585,183,32.686,0.0151,1.001,1.0,0.9999,0.0626,0.2443,0.6855,0.9781,1.0,19,-1.0241,39.4979,0.405,0.1439
-zgIolzsJxY_033,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-23,23,2.0,test,ok,,4.46,,1.6523,769.9692,182,33.549,0.0198,1.0025,1.0,0.9999,0.0844,0.2465,0.6834,0.9632,1.0,43,-1.0753,39.6795,0.407,0.1648
-zgIolzsJxY_034,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-24,24,2.0,train,ok,,4.5,,1.6951,784.15,183,33.513,0.0162,1.001,1.0,0.9999,0.0618,0.2425,0.6824,0.9781,1.0,23,-1.0602,39.8225,0.425,0.1303
-zgIolzsJxY_035,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-26,26,2.0,train,ok,,4.32,,1.6179,811.177,178,33.167,0.0111,0.9964,1.0,0.9999,0.0723,0.2462,0.683,0.9771,1.0,20,-1.0626,39.4568,0.423,0.1477
-zgIolzsJxY_036,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-27,27,2.0,train,ok,,4.45,,1.6966,850.5163,182,34.039,0.0128,0.9973,1.0,0.9999,0.1042,0.2432,0.6831,0.9704,1.0,42,-1.0111,39.4287,0.467,0.1426
-zgIolzsJxY_037,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-28,28,2.0,test,ok,,4.4,,1.6405,860.1927,180,33.912,0.013,0.9934,0.928,0.9999,0.0649,0.2437,0.6795,0.9701,1.0,27,-0.8615,39.7593,0.422,0.1411
0r_usy_GIAI_000,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-2,2,1.0,test,ok,,4.58,,1.7283,5.9393,186,33.701,0.015,0.9981,1.0,0.9999,0.0618,0.2297,0.6788,0.9784,1.0,26,-1.1194,39.6311,0.398,0.1515
0r_usy_GIAI_001,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-4,4,1.0,test,ok,,4.5,,1.714,21.7217,183,33.314,0.0172,0.9936,1.0,0.9998,0.0682,0.2243,0.6819,0.9708,1.0,53,-1.3263,39.6178,0.428,0.1471
0r_usy_GIAI_002,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-5,5,1.0,test,ok,,4.4,,1.6643,52.1855,180,33.656,0.0196,1.001,1.0,0.9999,0.1513,0.2291,0.678,0.9776,1.0,32,-1.0258,39.3179,0.433,0.1727
0r_usy_GIAI_003,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-6,6,1.0,train,ok,,4.38,,1.7024,73.3066,180,33.031,0.0142,0.998,1.0,0.9999,0.0774,0.2247,0.6795,0.9549,1.0,25,-1.1251,39.4716,0.492,0.1663
0r_usy_GIAI_004,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-7,7,1.0,train,ok,,4.52,,1.6799,106.473,184,33.233,0.0163,0.9966,1.0,0.9999,0.1069,0.2259,0.681,0.9562,1.0,34,-0.9543,39.6458,0.471,0.1765
0r_usy_GIAI_005,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-9,9,1.0,train,rejected,x_at_stop_err=2.47,4.42,,,134.9682,181,33.325,0.017,0.9889,1.0,0.9998,0.1149,0.2244,0.6823,0.9851,1.0,28,-0.8755,37.532,0.458,1.6938
0r_usy_GIAI_006,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-10,10,1.0,train,ok,,4.37,,1.6323,146.1126,179,33.81,0.0166,1.0002,0.96,0.9999,0.0746,0.2295,0.68,0.9699,1.0,33,-0.9486,39.3394,0.414,0.1661
0r_usy_GIAI_007,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-11,11,1.0,train,ok,,4.41,,1.7427,156.9568,181,34.094,0.0128,0.9987,1.0,0.9999,0.0779,0.23,0.6788,0.9627,1.0,30,-1.0501,39.6646,0.499,0.1522
0r_usy_GIAI_008,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-12,12,1.0,train,ok,,4.33,,1.611,181.0475,178,33.3,0.0114,1.0018,1.0,0.9999,0.0902,0.2303,0.6841,0.9697,1.0,30,-1.0465,39.3956,0.469,0.1681
0r_usy_GIAI_009,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-13,13,1.0,test,ok,,4.32,,1.6033,231.9984,178,33.719,0.0118,0.9964,1.0,0.9999,0.0627,0.2287,0.6772,0.9697,1.0,49,-1.2726,39.5983,0.43,0.1582
0r_usy_GIAI_010,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-15,15,1.0,train,ok,,4.5,,1.7337,289.8896,183,33.725,0.0117,1.001,1.0,0.9999,0.0954,0.2294,0.6792,0.9635,1.0,28,-1.0073,39.5997,0.462,0.1575
0r_usy_GIAI_011,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-17,17,1.0,test,ok,,4.47,,1.6951,306.4728,182,32.211,0.0127,0.9928,1.0,0.9999,0.0921,0.2289,0.679,0.9706,1.0,30,-1.1317,39.5953,0.475,0.1552
0r_usy_GIAI_012,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-19,19,1.0,test,ok,,4.4,,1.6787,344.711,180,33.714,0.0153,1.001,1.0,0.9999,0.072,0.2335,0.6781,0.9701,1.0,53,-1.2092,39.4088,0.457,0.1777
0r_usy_GIAI_013,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-20,20,1.0,train,ok,,4.62,,1.7603,360.2265,187,33.713,0.0162,1.0039,1.0,0.9999,0.1033,0.2299,0.6818,0.9787,1.0,38,-1.4023,39.3118,0.41,0.1485
0r_usy_GIAI_014,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-21,21,1.0,train,ok,,4.44,,1.6986,382.5822,182,34.226,0.0113,0.9995,1.0,0.9999,0.0719,0.2293,0.6795,0.9556,1.0,35,-1.1602,39.3796,0.509,0.1675
0r_usy_GIAI_015,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-2,2,2.0,test,ok,,4.54,,1.6926,433.6332,185,33.502,0.0116,0.9995,1.0,0.9998,0.1472,0.2335,0.6801,0.9855,1.0,28,-0.9254,39.4698,0.609,0.1658
0r_usy_GIAI_016,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-4,4,2.0,test,ok,,4.53,,1.7397,445.3783,184,34.03,0.0171,1.0017,1.0,0.9999,0.0759,0.2366,0.6845,0.9635,1.0,34,-1.2719,39.7503,0.501,0.1712
0r_usy_GIAI_017,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-5,5,2.0,test,ok,,4.42,,1.6674,469.5024,181,33.793,0.0115,1.004,1.0,0.9999,0.099,0.231,0.678,0.9556,1.0,37,-1.2248,39.5286,0.495,0.1599
0r_usy_GIAI_018,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-6,6,2.0,train,ok,,4.41,,1.7055,492.7256,181,32.876,0.0118,0.9912,1.0,0.9999,0.1009,0.2321,0.6818,0.9556,1.0,26,-1.1327,39.5191,0.426,0.1638
0r_usy_GIAI_019,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-7,7,2.0,train,ok,,4.49,,1.6794,504.2704,183,33.467,0.0164,1.0032,1.0,0.9999,0.0742,0.2328,0.6812,0.9489,1.0,25,-0.9509,39.4289,0.436,0.1692
0r_usy_GIAI_020,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-9,9,2.0,train,ok,,4.36,,1.6225,530.3632,179,33.718,0.0127,0.9872,1.0,0.9999,0.0579,0.2327,0.6838,0.9699,1.0,27,-1.0735,39.4021,0.47,0.1454
0r_usy_GIAI_021,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-11,11,2.0,train,ok,,4.42,,1.7192,567.4335,181,33.68,0.0128,1.004,1.0,0.9998,0.1136,0.2295,0.6788,0.9778,1.0,31,-1.2006,39.5991,0.508,0.1698
0r_usy_GIAI_022,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-12,12,2.0,train,ok,,4.31,,1.5962,580.1796,178,33.935,0.0163,1.0064,1.0,0.9998,0.1039,0.2308,0.682,0.9848,1.0,28,-1.3196,39.4387,0.419,0.1627
0r_usy_GIAI_023,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-13,13,2.0,test,ok,,4.37,,1.6657,591.6911,179,33.719,0.0131,0.9926,1.0,0.9998,0.0665,0.2319,0.6796,0.9774,1.0,25,-1.2931,39.4994,0.517,0.1716
0r_usy_GIAI_024,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-15,15,2.0,train,ok,,4.5,,1.7064,608.0741,183,33.659,0.0131,1.001,1.0,0.9999,0.1046,0.2328,0.679,0.9635,1.0,30,-1.0487,39.7417,0.426,0.1414
0r_usy_GIAI_025,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-17,17,2.0,test,ok,,4.43,,1.6771,619.6857,181,33.416,0.0124,0.9942,1.0,0.9999,0.0649,0.2313,0.6799,0.9556,1.0,32,-1.2067,39.3904,0.474,0.1877
0r_usy_GIAI_026,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-19,19,2.0,test,ok,,4.4,,1.7064,645.8118,180,32.488,0.014,0.9934,1.0,0.9999,0.066,0.23,0.6802,0.9701,1.0,56,-1.27,39.1547,0.489,0.1643
0r_usy_GIAI_027,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-20,20,2.0,train,ok,,4.64,,1.7947,671.4374,187,33.725,0.0129,0.9924,1.0,0.9999,0.1286,0.2328,0.6789,0.9574,1.0,35,-1.3269,39.4959,0.418,0.1502
0r_usy_GIAI_028,0r_usy_GIAI,Wide Receivers Group 1,WR,WR,SKILL,WR-21,21,2.0,train,ok,,4.46,,1.6936,683.0157,182,32.709,0.0112,0.995,1.0,0.9999,0.0864,0.2305,0.6798,0.9706,1.0,49,-1.1495,39.5547,0.502,0.167
9xc35LbeeUE_000,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-1,1,1.0,train,ok,,4.65,,1.7534,38.0714,188,33.378,0.0144,0.9974,1.0,0.9999,0.0731,0.2355,0.6783,0.9645,1.0,27,-1.3687,39.6741,0.424,0.1376
9xc35LbeeUE_001,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-3,3,1.0,test,ok,,4.68,,1.7457,64.8982,189,33.467,0.0184,0.991,1.0,0.9999,0.1648,0.2358,0.6783,0.9648,1.0,22,-1.3888,39.6436,0.385,0.1499
9xc35LbeeUE_002,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-5,5,1.0,train,ok,,4.73,,1.7945,108.3749,190,33.129,0.0112,0.9947,1.0,0.9999,0.1438,0.2354,0.6793,0.986,1.0,30,-1.3853,39.7866,0.485,0.1198
9xc35LbeeUE_003,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-6,6,1.0,test,ok,,4.68,,1.7778,122.5224,189,33.56,0.0154,0.9981,1.0,0.9999,0.138,0.2356,0.6764,0.9789,1.0,36,-1.2727,39.3737,0.427,0.1564
9xc35LbeeUE_004,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-7,7,1.0,train,ok,,4.6,,1.7063,140.6739,186,33.238,0.0142,0.9937,1.0,0.9999,0.0702,0.2366,0.6808,0.9714,0.9929,62,-1.3399,39.7241,0.433,0.1696
9xc35LbeeUE_005,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-8,8,1.0,test,ok,,4.57,,1.7263,164.4643,185,33.819,0.0112,0.993,1.0,0.9999,0.1079,0.2298,0.6749,0.9784,1.0,59,-0.9472,39.6978,0.405,0.2627
9xc35LbeeUE_006,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-10,10,1.0,train,ok,,4.75,,1.818,184.6511,191,33.817,0.0169,1.0045,1.0,0.9999,0.1213,0.2315,0.6757,0.9517,1.0,34,-1.28,39.8102,0.391,0.1538
9xc35LbeeUE_007,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-11,11,1.0,test,ok,,4.53,,1.7116,204.6044,184,34.104,0.0146,0.9944,1.0,0.9999,0.1293,0.2323,0.6805,0.9635,1.0,21,-1.153,39.7464,0.409,0.1508
9xc35LbeeUE_008,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-12,12,1.0,test,ok,,4.91,,1.8476,235.3017,196,33.431,0.0163,0.9922,1.0,0.9999,0.0802,0.2319,0.6772,0.9732,1.0,29,-1.5005,39.6955,0.382,0.1678
9xc35LbeeUE_009,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-14,14,1.0,train,ok,,4.62,,1.758,247.8476,187,32.43,0.0111,0.9967,1.0,0.9999,0.073,0.2333,0.6762,0.9714,1.0,15,-1.0756,39.6187,0.397,0.1336
9xc35LbeeUE_010,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-15,15,1.0,test,ok,,4.71,,1.7551,263.4298,190,32.606,0.0179,0.9918,1.0,0.9999,0.1497,0.2309,0.676,0.972,1.0,24,-1.3006,39.697,0.413,0.1455
9xc35LbeeUE_011,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-16,16,1.0,train,ok,,4.52,,1.7582,274.0738,184,33.087,0.0144,0.9966,1.0,0.9999,0.1032,0.2366,0.6775,0.9781,1.0,44,-1.1828,39.6031,0.427,0.1551
9xc35LbeeUE_012,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-18,18,1.0,train,rejected,x_at_stop_err=4.18,4.66,,,288.9887,188,33.621,0.0122,1.0024,1.0,0.9999,0.0729,0.2322,0.6762,0.9718,1.0,25,-1.3005,35.8226,0.462,0.169
9xc35LbeeUE_013,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-19,19,1.0,test,rejected,max_step_yd=0.804,4.62,,,299.5326,187,32.677,0.0118,0.9894,1.0,0.9999,0.0591,0.2361,0.6757,0.9645,1.0,30,-1.6177,41.2781,0.804,0.1628
9xc35LbeeUE_014,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-21,21,1.0,train,ok,,4.7,,1.729,313.0461,189,33.143,0.0127,0.9939,1.0,0.9999,0.1194,0.2335,0.6782,0.986,1.0,32,-1.2273,39.5656,0.391,0.1318
9xc35LbeeUE_015,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-23,23,1.0,test,ok,,4.4,,1.6149,352.7858,180,33.433,0.0112,1.001,1.0,0.9998,0.1719,0.2372,0.6779,0.9776,1.0,9,-0.8875,40.0942,0.452,0.2988
9xc35LbeeUE_016,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-24,24,1.0,test,ok,,4.63,,1.768,385.4184,187,33.649,0.0183,0.9945,1.0,0.9999,0.0662,0.2386,0.6782,0.9787,1.0,37,-1.3396,39.5586,0.399,0.1367
9xc35LbeeUE_017,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-1,1,2.0,train,ok,,4.63,,1.7306,418.8184,187,33.534,0.0159,1.0017,1.0,0.9998,0.072,0.2357,0.68,0.9504,1.0,22,-1.4194,39.6914,0.425,0.1584
9xc35LbeeUE_018,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-3,3,2.0,test,ok,,4.65,,1.7597,429.6626,188,32.863,0.0128,0.9902,1.0,0.9998,0.1017,0.2346,0.676,0.9437,1.0,27,-1.3961,39.4019,0.495,0.1338
9xc35LbeeUE_019,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-5,5,2.0,train,ok,,4.73,,1.8302,441.2074,190,33.012,0.0175,0.9947,1.0,0.9998,0.0613,0.2341,0.6771,0.986,1.0,32,-1.2082,39.7622,0.444,0.1433
9xc35LbeeUE_020,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-6,6,2.0,test,ok,,4.63,,1.7195,453.0192,187,34.339,0.0114,0.9945,1.0,0.9998,0.1053,0.2397,0.6801,0.9787,1.0,19,-1.3237,39.6647,0.501,0.1274
9xc35LbeeUE_021,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-7,7,2.0,train,ok,,4.62,,1.7324,463.5631,187,33.376,0.017,0.9967,1.0,0.9998,0.0674,0.2331,0.6792,0.9857,1.0,52,-1.4174,39.7692,0.397,0.1436
9xc35LbeeUE_022,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-8,8,2.0,test,ok,,4.62,,1.7555,478.1777,187,33.073,0.0117,0.9967,1.0,0.9999,0.1452,0.2372,0.6758,0.9929,1.0,61,-0.9876,39.7804,0.402,0.2833
9xc35LbeeUE_023,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-10,10,2.0,train,ok,,4.76,,1.8252,493.4596,191,33.325,0.0186,1.0024,1.0,0.9999,0.1011,0.2378,0.6775,0.9722,1.0,36,-1.3635,39.8863,0.443,0.1381
9xc35LbeeUE_024,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-11,11,2.0,test,ok,,4.55,,1.7112,521.6545,185,33.43,0.0195,0.9973,1.0,0.9999,0.1276,0.2324,0.6764,0.971,1.0,25,-1.05,39.827,0.408,0.1394
9xc35LbeeUE_025,9xc35LbeeUE,Tight Ends,TE,TE,STRONG,TE-12,12,2.0,test,ok,,4.94,,1.8647,535.7686,196,33.823,0.0103,0.9929,1.0,0.9999,0.1495,0.2351,0.6768,0.9667,1.0,20,-1.5142,39.758,0.371,0.1169
